Wavelength,Cristal_T,Vidrio_T,Acetato_T,Cristal_Abs,Vidrio_Abs,Acetato_R,Cristal_R,Vidrio_R,Acetato_Abs
2391.0,91.48497772,89.06388092,69.63328552,0.0394962281,0.04982496798,0.7596622705,0.3846125305,0.5842396617,0.1534314305
2390.0,91.51053619,89.06427765,71.03878784,0.03970153257,0.04985075071,0.7835502028,0.373318553,0.5496951938,0.1447445154
2389.0,91.49510956,89.06073761,72.40457153,0.03979383782,0.04987926409,0.7595903873,0.3513297439,0.5688694119,0.1368732005
2388.0,91.44638824,89.06520844,73.5640564,0.03980501741,0.04982163012,0.7729974389,0.3819962442,0.5401033163,0.1307584047
2387.0,91.38671875,89.06036377,74.44017792,0.03974223882,0.04987827688,0.7579414845,0.3426416218,0.5479904413,0.1268491447
2386.0,91.33124542,89.06298828,74.86105347,0.03963369131,0.04986416548,0.7558533549,0.3758394718,0.5548747182,0.1257790774
2385.0,91.3015976,89.05207062,74.79304504,0.03948692977,0.04986761883,0.7435585856,0.338690877,0.5427355766,0.1274630427
2384.0,91.30649567,89.05607605,74.27018738,0.03934523091,0.04990989715,0.7761177421,0.3576332629,0.5431953073,0.1317511946
2383.0,91.34293365,89.05632782,73.33705139,0.03930201381,0.04987937957,0.7507684827,0.3413342834,0.5304090977,0.138106361
2382.0,91.38917542,89.05599213,72.14463806,0.03931266814,0.04984169081,0.7813990116,0.4101712704,0.5903202295,0.1457083523
2381.0,91.44845581,89.06041718,70.80444336,0.0395007357,0.04990040138,0.7551102042,0.3708996177,0.559081614,0.1538196504
2380.0,91.48458099,89.05362701,69.53324127,0.03966936842,0.04988823831,0.7568027973,0.3732399046,0.5645627379,0.1611231118
2379.0,91.49385834,89.05722046,68.48040771,0.03978898749,0.04986405,0.7420947552,0.3592686355,0.531976223,0.1667642891
2378.0,91.46546173,89.04896545,67.78986359,0.03987481445,0.04994704202,0.7558261156,0.3782054484,0.5682364106,0.1700568348
2377.0,91.40959167,89.04987335,67.43425751,0.03981940076,0.04989799485,0.748752594,0.365542382,0.562276125,0.1709231585
2376.0,91.35122681,89.04771423,67.4896698,0.03971920535,0.04992926866,0.7451596856,0.3642627299,0.5446345806,0.1692422479
2375.0,91.31403351,89.05963135,67.92008209,0.03955327347,0.04993121326,0.7497394681,0.3605958223,0.5761902928,0.1654765755
2374.0,91.29001617,89.04118347,68.6758728,0.03938831016,0.04992946982,0.7326342463,0.3811976314,0.5423884988,0.159844622
2373.0,91.31407166,89.04986572,69.63529968,0.0392998606,0.04990917444,0.7504197359,0.3727309108,0.5538659692,0.1535382569
2372.0,91.3584137,89.03580475,70.57417297,0.0393239744,0.04996429011,0.7465980053,0.3658000827,0.5521634817,0.1478427798
2371.0,91.41268158,89.04038239,71.45856476,0.03940571472,0.04992523044,0.7496277094,0.3673967421,0.5381336212,0.1429944932
2370.0,91.46231842,89.03530121,72.09659576,0.03956841305,0.04996899515,0.7534185648,0.3419028223,0.5237093568,0.1400863528
2369.0,91.49251556,89.04042816,72.35881805,0.03971222788,0.04996585846,0.7638036013,0.3631295562,0.5661082268,0.1397308558
2368.0,91.4790802,89.03622437,72.13930511,0.03982354328,0.04996118322,0.7733333111,0.3792683482,0.5659072399,0.1423606277
2367.0,91.44020081,89.03832245,71.42590332,0.03985378891,0.04999818653,0.7233976722,0.3581933975,0.546710968,0.147990346
2366.0,91.38638306,89.03544617,70.3266449,0.03975401074,0.04996757209,0.7370604873,0.3671070039,0.5398676991,0.1556611955
2365.0,91.32650757,89.03264618,68.99648285,0.03963825852,0.05001087859,0.7545835376,0.3843312263,0.530638814,0.1645749062
2364.0,91.29994202,89.03164673,67.54746246,0.03946643323,0.04997352511,0.7489247918,0.3558318615,0.5318900347,0.1739351153
2363.0,91.29492188,89.02885437,66.15904236,0.03937646374,0.05001314357,0.730853796,0.3630746007,0.5354127288,0.1827038974
2362.0,91.32550049,89.03237915,65.06286621,0.03934879974,0.05001032725,0.7512670755,0.3596676886,0.542118907,0.1892442554
2361.0,91.38155365,89.02432251,64.35508728,0.03942382708,0.05004282668,0.7248015404,0.3474283814,0.5309097171,0.1929705143
2360.0,91.43572235,89.0272522,64.13676453,0.03955052048,0.05000561848,0.7379453778,0.3662444949,0.5443450809,0.1931921095
2359.0,91.46325684,89.01583862,64.38456726,0.0396755822,0.050043758,0.7292745113,0.3389981687,0.5515314341,0.1902894974
2358.0,91.46699524,89.01986694,65.10018158,0.03978839144,0.0500418134,0.7120566964,0.3555369675,0.5119378567,0.1843287051
2357.0,91.43913269,89.01545715,66.22291565,0.03985784575,0.05008184165,0.7436069846,0.3775286674,0.5406990647,0.1760365814
2356.0,91.38491058,89.01252747,67.63983154,0.03979017958,0.05006847903,0.7110792398,0.3487454355,0.5368902683,0.1663039327
2355.0,91.33561707,89.01207733,69.31552887,0.03970195726,0.05009767413,0.7620683908,0.3747906983,0.5577286482,0.1556063443
2354.0,91.29494476,89.00996399,70.97853088,0.03957989812,0.05011545122,0.7385972142,0.3999417126,0.5621504188,0.1456454992
2353.0,91.28440857,89.00393677,72.4568634,0.03948276117,0.05013227463,0.7412996888,0.3474803269,0.5432892442,0.1374121308
2352.0,91.29871368,88.99993896,73.65112305,0.03942864388,0.05013686419,0.7266793847,0.3521618843,0.5284852386,0.1313378662
2351.0,91.34407043,89.00312042,74.43406677,0.0394597128,0.05014770105,0.7119136453,0.3386563659,0.526137948,0.1279737949
2350.0,91.39522552,88.99728394,74.73614502,0.03957252577,0.05017120764,0.7476853132,0.3532725275,0.5301790237,0.1274969578
2349.0,91.42593384,88.99325562,74.53037262,0.03970019892,0.05017074198,0.6988639235,0.3637209535,0.4853374362,0.129800275
2348.0,91.43110657,88.98509216,73.88089752,0.03981503099,0.05020776019,0.7408089638,0.3493824303,0.4984694123,0.1344452947
2347.0,91.41040039,88.9797287,72.92527771,0.0398738198,0.05021482334,0.7251059413,0.3775633872,0.5554555655,0.1405123025
2346.0,91.37509918,88.98474884,71.89172363,0.03985801712,0.05023801327,0.7468963265,0.355268836,0.5146977305,0.1467299908
2345.0,91.32714844,88.97670746,70.85626984,0.03980825096,0.05024571344,0.7495971322,0.3960831463,0.5311647654,0.1525420099
2344.0,91.28076935,88.97708893,69.99093628,0.03969636932,0.05028189719,0.7398923635,0.3479211032,0.5523306131,0.157069996
2343.0,91.2598114,88.97255707,69.43227386,0.03962918371,0.05028151721,0.7610171437,0.3985056579,0.5622326732,0.1594094634
2342.0,91.27201843,88.96627808,69.23448181,0.0395758152,0.05031438917,0.7406904101,0.3669496775,0.5373774767,0.1594070047
2341.0,91.30234528,88.96396637,69.43731689,0.03957984224,0.05031256005,0.7731673121,0.3946608305,0.5397991538,0.1569831073
2340.0,91.34502411,88.95355988,69.96730042,0.03961942717,0.05031136796,0.7890042067,0.3909301162,0.491548419,0.1527972519
2339.0,91.37358093,88.9498291,70.7878952,0.03969952092,0.05031825602,0.7318920493,0.337197274,0.5206057429,0.1471389681
2338.0,91.39479065,88.94770813,71.78333282,0.03980978206,0.05038115755,0.7069983482,0.3143804073,0.5082642436,0.1409842521
2337.0,91.39634705,88.95066071,72.85688782,0.03985952213,0.05038839579,0.767907083,0.3419751227,0.5783805847,0.1347950846
