cristal,,vidrio,,Acetato,,cristal,,Viodrio,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,Wavelength (nm),Abs,
2399,91.46681976,2399,89.0530777,2399,69.2516861,2399,0.03977832198,2399,0.04987354577,
2398,91.41408539,2398,89.06188202,2398,67.95781708,2398,0.03975179791,2398,0.04986271262,
2397,91.35762024,2397,89.05870056,2397,66.97486877,2397,0.03960264102,2397,0.04983545095,
2396,91.31906891,2396,89.05725098,2396,66.37729645,2396,0.03948400915,2396,0.04985022917,
2395,91.31504822,2395,89.06298828,2395,66.2348938,2395,0.0393258445,2395,0.0498759523,
2394,91.33322144,2394,89.0586853,2394,66.54675293,2394,0.03922859579,2394,0.0498168692,
2393,91.38961792,2393,89.05661774,2393,67.29960632,2393,0.03925350308,2393,0.04988033697,
2392,91.44034576,2392,89.05950928,2392,68.39015198,2392,0.03935806826,2392,0.04985493049,
2391,91.48497772,2391,89.06388092,2391,69.63328552,2391,0.0394962281,2391,0.04982496798,
2390,91.51053619,2390,89.06427765,2390,71.03878784,2390,0.03970153257,2390,0.04985075071,
2389,91.49510956,2389,89.06073761,2389,72.40457153,2389,0.03979383782,2389,0.04987926409,
2388,91.44638824,2388,89.06520844,2388,73.5640564,2388,0.03980501741,2388,0.04982163012,
2387,91.38671875,2387,89.06036377,2387,74.44017792,2387,0.03974223882,2387,0.04987827688,
2386,91.33124542,2386,89.06298828,2386,74.86105347,2386,0.03963369131,2386,0.04986416548,
2385,91.3015976,2385,89.05207062,2385,74.79304504,2385,0.03948692977,2385,0.04986761883,
2384,91.30649567,2384,89.05607605,2384,74.27018738,2384,0.03934523091,2384,0.04990989715,
2383,91.34293365,2383,89.05632782,2383,73.33705139,2383,0.03930201381,2383,0.04987937957,
2382,91.38917542,2382,89.05599213,2382,72.14463806,2382,0.03931266814,2382,0.04984169081,
2381,91.44845581,2381,89.06041718,2381,70.80444336,2381,0.0395007357,2381,0.04990040138,
2380,91.48458099,2380,89.05362701,2380,69.53324127,2380,0.03966936842,2380,0.04988823831,
2379,91.49385834,2379,89.05722046,2379,68.48040771,2379,0.03978898749,2379,0.04986405,
2378,91.46546173,2378,89.04896545,2378,67.78986359,2378,0.03987481445,2378,0.04994704202,
2377,91.40959167,2377,89.04987335,2377,67.43425751,2377,0.03981940076,2377,0.04989799485,
2376,91.35122681,2376,89.04771423,2376,67.4896698,2376,0.03971920535,2376,0.04992926866,
2375,91.31403351,2375,89.05963135,2375,67.92008209,2375,0.03955327347,2375,0.04993121326,
2374,91.29001617,2374,89.04118347,2374,68.6758728,2374,0.03938831016,2374,0.04992946982,
2373,91.31407166,2373,89.04986572,2373,69.63529968,2373,0.0392998606,2373,0.04990917444,
2372,91.3584137,2372,89.03580475,2372,70.57417297,2372,0.0393239744,2372,0.04996429011,
2371,91.41268158,2371,89.04038239,2371,71.45856476,2371,0.03940571472,2371,0.04992523044,
2370,91.46231842,2370,89.03530121,2370,72.09659576,2370,0.03956841305,2370,0.04996899515,
2369,91.49251556,2369,89.04042816,2369,72.35881805,2369,0.03971222788,2369,0.04996585846,
2368,91.4790802,2368,89.03622437,2368,72.13930511,2368,0.03982354328,2368,0.04996118322,
2367,91.44020081,2367,89.03832245,2367,71.42590332,2367,0.03985378891,2367,0.04999818653,
2366,91.38638306,2366,89.03544617,2366,70.3266449,2366,0.03975401074,2366,0.04996757209,
2365,91.32650757,2365,89.03264618,2365,68.99648285,2365,0.03963825852,2365,0.05001087859,
